gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnBinary
Male,0,No,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,104.65,7518.26,No,0
Female,0,No,Yes,36,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Mailed check,77.06,2749.59,Yes,1
Female,1,Yes,No,14,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,65.28,916.53,Yes,1
Female,0,Yes,Yes,8,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),50.31,413.38,No,0
Female,0,Yes,Yes,43,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,80.05,3447.18,No,0
Female,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,33.62,109.01,Yes,1
Female,0,Yes,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.41,794.51,No,0
Female,1,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),30.47,458.66,No,0
Male,1,Yes,No,1,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,One year,No,Mailed check,66.2,73.29,No,0
Male,0,No,No,4,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),72.03,295.12,No,0
Female,0,Yes,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,88.5,356.45,No,0
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.27,35.53,No,0
Male,0,No,No,48,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),50.58,2435.37,No,0
Male,1,Yes,No,26,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,74.78,1948.21,No,0
Female,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.96,9.61,No,0
Female,0,No,No,50,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),94.2,4700.06,No,0
Male,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,23.33,433.63,No,0
Female,1,Yes,No,5,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),68.3,351.66,No,0
Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Credit card (automatic),70.14,642.04,Yes,1
Male,0,No,No,34,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),81.56,2770.54,No,0
Male,0,No,No,4,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,88.57,359.2,Yes,1
Male,0,No,No,72,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,53.12,3822.44,No,0
Female,0,No,No,15,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,101.11,1506.75,No,0
Female,1,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),81.53,575.39,Yes,1
Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,87.66,431.72,No,0
Male,0,Yes,No,72,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),22.87,1632.98,No,0
Female,0,Yes,No,33,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,52.75,1742.19,No,0
Male,0,Yes,No,25,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),91.44,2294.91,No,0
Female,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.16,1361.47,Yes,1
Male,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.01,509.2,Yes,1
Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,75.83,148.21,Yes,1
Male,1,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),36.09,285.91,No,0
Female,0,Yes,Yes,42,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),44.71,1888.94,No,0
Female,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),87.09,1040.25,Yes,1
Female,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.63,265.83,No,0
Female,0,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),32.05,1208.36,No,0
Male,0,Yes,No,18,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,88.98,1592.69,Yes,1
Female,0,No,Yes,11,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),59.99,656.24,Yes,1
Female,0,No,No,40,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,59.68,2388.77,No,0
Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.42,60.23,No,0
Male,0,No,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.53,154.65,Yes,1
Male,0,No,No,24,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),67.08,1601.71,No,0
Female,1,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.89,466.24,Yes,1
Male,0,Yes,No,39,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,65.91,2574.19,No,0
Male,0,Yes,Yes,66,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),57.45,3778.17,Yes,1
Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,83.98,6041.2,No,0
Female,0,No,No,3,No,No phone service,DSL,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),50.76,136.75,No,0
Male,0,No,Yes,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.75,145.21,No,0
Female,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,64.13,628.26,Yes,1
Female,0,Yes,Yes,1,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),69.95,76.94,Yes,1
Male,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,83.05,1159.37,No,0
Male,0,No,Yes,48,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,86.52,4150.72,No,0
Female,0,Yes,Yes,25,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,Yes,Mailed check,59.35,1484.61,No,0
Male,1,Yes,No,23,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,78.84,1812.31,No,0
Male,0,Yes,No,13,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,64.38,831.04,No,0
Female,0,No,No,19,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,43.07,822.21,Yes,1
Female,0,Yes,No,30,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,60.67,1816.95,No,0
Male,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),75.57,318.9,No,0
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),76.07,150.55,No,0
Male,0,No,Yes,1,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,62.07,41.61,No,0
Male,0,No,No,30,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Credit card (automatic),95.21,2850.64,Yes,1
Male,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,84.0,77.98,No,0
Female,0,No,Yes,20,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.09,1519.51,No,0
Male,0,Yes,No,72,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,67.06,4830.2,No,0
Male,1,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.72,227.89,No,0
Male,0,No,Yes,38,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),80.05,3025.4,No,0
Female,1,No,No,18,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,55.12,989.58,No,0
Female,0,No,No,69,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Mailed check,72.34,5004.73,No,0
Female,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.94,597.66,No,0
Female,1,Yes,No,16,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.83,1511.78,Yes,1
Female,0,Yes,No,10,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),78.53,781.38,No,0
Male,1,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.56,1404.7,No,0
Female,0,No,Yes,11,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,82.93,914.29,No,0
Female,0,No,No,11,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,58.64,659.6,No,0
Female,1,No,Yes,31,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,82.7,2579.55,Yes,1
Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),88.91,6418.59,No,0
Female,1,No,No,8,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),58.79,465.6,No,0
Female,1,No,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.48,88.83,Yes,1
Male,0,Yes,Yes,55,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),71.68,3953.6,No,0
Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.04,19.65,Yes,1
Male,0,Yes,No,28,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,82.3,2301.96,No,0
Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.13,88.7,No,0
Male,0,No,No,41,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),87.91,3605.66,No,0
Male,0,Yes,Yes,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.61,74.64,No,0
Male,0,No,No,40,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),82.44,3308.67,Yes,1
Female,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,96.19,1431.53,No,0
Male,1,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,49.25,67.02,No,0
Male,0,Yes,No,13,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.78,649.12,No,0
Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,97.4,7016.97,No,0
Male,0,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.01,154.71,No,0
Female,0,Yes,No,40,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),76.85,3079.14,No,0
Female,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Electronic check,82.91,106.18,No,0
Female,0,No,No,16,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),82.34,1314.02,Yes,1
Male,1,No,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.03,550.97,Yes,1
Male,0,Yes,No,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,81.36,412.64,Yes,1
Male,0,Yes,No,38,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),76.38,2915.37,No,0
Female,1,No,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.16,869.86,No,0
Male,1,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.29,17.05,Yes,1
Male,0,No,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,One year,No,Electronic check,90.81,6090.3,No,0
Male,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,29.84,471.18,No,0
Female,0,No,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.28,288.85,No,0
Female,0,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),98.49,403.28,No,0
Male,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),83.38,5982.79,No,0
Male,0,No,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.94,311.64,Yes,1
Male,1,Yes,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),69.97,3219.96,Yes,1
Male,0,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),21.67,1559.59,No,0
Female,0,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,78.14,544.97,Yes,1
Female,0,Yes,No,17,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),60.44,1018.16,No,0
Female,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,95.72,100.35,Yes,1
Female,0,No,Yes,2,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,64.49,141.95,Yes,1
Male,0,No,No,8,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Electronic check,55.49,445.76,No,0
Male,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.1,201.92,No,0
Male,0,Yes,No,2,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),61.69,136.52,No,0
Female,0,No,No,14,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),56.56,792.34,No,0
Male,0,No,Yes,20,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),79.46,1591.4,No,0
Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),17.9,43.3,No,0
Female,0,No,No,15,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,62.36,942.92,Yes,1
Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,86.68,1377.5,No,0
Male,1,Yes,No,12,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Mailed check,57.76,693.53,No,0
Male,0,No,No,8,No,No phone service,Fiber optic,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),78.04,615.94,No,0
Female,0,Yes,No,23,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.93,466.81,Yes,1
Male,1,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.29,13.09,No,0
Female,1,Yes,Yes,6,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),91.01,540.65,No,0
Male,0,Yes,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.03,262.66,Yes,1
Female,0,Yes,No,25,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,97.92,2461.02,No,0
Female,0,No,Yes,27,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),64.43,1733.01,No,0
Male,0,Yes,No,19,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),63.64,1213.36,No,0
Female,0,No,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,84.17,671.87,No,0
Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,73.76,5324.42,No,0
Male,0,No,No,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),34.99,1792.56,No,0
Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),97.59,291.06,Yes,1
Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,17.42,1261.19,No,0
Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.52,83.94,No,0
Male,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.05,22.58,No,0
Male,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.63,66.58,Yes,1
Female,0,No,No,16,No,No phone service,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,72.05,1152.68,Yes,1
Female,0,No,Yes,24,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,82.1,1964.3,No,0
Female,0,Yes,No,13,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),56.82,737.25,No,0
Female,1,No,Yes,8,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,58.54,469.76,No,0
Female,0,No,No,13,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,70.59,923.27,No,0
Male,0,No,Yes,72,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Electronic check,60.2,4316.0,No,0
Female,1,Yes,No,43,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),95.82,4119.96,No,0
Male,0,No,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.38,133.25,Yes,1
Male,0,No,No,3,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.81,188.86,Yes,1
Female,1,Yes,No,8,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),83.53,664.65,No,0
Male,0,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),85.51,1813.71,No,0
Male,0,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,48.48,34.12,Yes,1
Male,0,No,No,44,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),81.68,3573.37,No,0
Male,0,Yes,No,2,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),70.46,141.51,No,0
Female,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,30.52,163.78,No,0
Male,0,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,23.86,23.25,No,0
Female,0,No,Yes,42,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,69.82,2924.53,No,0
Female,0,No,No,57,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,67.77,3856.73,No,0
Male,0,Yes,No,1,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.07,106.55,No,0
Female,0,Yes,No,72,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Mailed check,57.67,4142.61,No,0
Female,0,Yes,No,9,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.32,442.79,No,0
Female,0,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.51,186.27,No,0
Male,0,Yes,Yes,69,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),42.7,2967.62,No,0
Female,0,Yes,No,14,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),82.25,1171.08,No,0
Female,0,Yes,No,12,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),90.95,1089.22,Yes,1
Female,0,Yes,No,1,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,67.4,87.15,Yes,1
Male,1,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,36.01,2590.63,No,0
Female,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,27.37,1969.34,No,0
Male,0,Yes,No,72,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,49.61,3574.78,No,0
Male,0,Yes,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.42,403.93,No,0
Male,1,No,No,39,No,No phone service,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),54.35,2115.06,No,0
Male,0,Yes,No,4,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),46.66,188.93,No,0
Male,0,No,No,28,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,64.04,1775.18,Yes,1
Male,0,No,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),90.63,1189.61,No,0
Female,0,No,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,73.23,898.04,Yes,1
Male,0,Yes,Yes,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),62.54,175.14,No,0
Female,0,No,No,29,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),62.51,1828.6,No,0
Female,1,Yes,Yes,1,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,84.74,56.56,No,0
Male,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.86,292.09,Yes,1
Female,0,Yes,Yes,8,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,No,Credit card (automatic),68.98,551.11,No,0
Female,1,Yes,No,58,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.63,4080.6,No,0
Female,0,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,90.5,1625.14,No,0
Female,0,No,No,8,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,No,Bank transfer (automatic),75.01,608.23,No,0
Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,29.22,108.5,Yes,1
Female,0,No,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Electronic check,80.18,5775.91,No,0
Male,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,32.39,688.92,No,0
Female,0,Yes,No,1,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,66.08,60.62,No,0
Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,79.03,867.01,No,0
Male,0,No,No,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,60.25,489.63,Yes,1
Female,0,Yes,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Electronic check,83.7,1170.7,No,0
Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),27.12,1939.8,No,0
Female,0,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.13,145.67,Yes,1
Male,0,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),31.01,591.62,No,0
Female,0,No,No,43,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),46.85,1996.92,No,0
